nameOfIssuer	titleOfClass	cusip	value	shrsOrPrnAmt_	shrsOrPrnAmt_	investmentDiscretion	votingAuthority_Sole	votingAuthority_Shared	votingAuthority_None
ARCOS DORADOS HOLDINGS INC	SHS CLASS -A -	G0457F107	21944	3060500	SH	SOLE	3060500	0	0
AUTONATION INC	COM	05329W102	67822	1898717	SH	SOLE	1898717	0	0
BERKSHIRE HATHAWAY INC DEL	CL B NEW	084670702	10462145	52078974	SH	SOLE	52078974	0	0
CANADIAN NATL RY CO	COM	136375102	1532513	17126874	SH	SOLE	17126874	0	0
CATERPILLAR INC DEL	COM	149123101	1525734	11260857	SH	SOLE	11260857	0	0
COCA COLA FEMSA S A B DE C V	SPON ADR REP L	191241108	410171	6214719	SH	SOLE	6214719	0	0
CROWN CASTLE INTL CORP NEW	COM	22822V101	682611	5332900	SH	SOLE	5332900	0	0
ECOLAB INC	COM	278865100	770849	4366426	SH	SOLE	4366426	0	0
FEDEX CORP	COM	31428X106	548765	3024999	SH	SOLE	3024999	0	0
GRUPO TELEVISA SA	SPON ADR REP ORD	40049J206	186683	16879104	SH	SOLE	16879104	0	0
LIBERTY GLOBAL PLC	SHS CL A	G5480U104	52818	2119515	SH	SOLE	2119515	0	0
LIBERTY GLOBAL PLC	SHS CL C	G5480U120	88109	3639349	SH	SOLE	3639349	0	0
LIBERTY LATIN AMERICA LTD	COM CL A	G9001E102	7164	370424	SH	SOLE	370424	0	0
LIBERTY LATIN AMERICA LTD	COM CL C	G9001E128	12371	636044	SH	SOLE	636044	0	0
MICROSOFT CORP	COM	594918104	943520	8000000	SH	SOLE	8000000	0	0
UNITED PARCEL SERVICE INC	CL B	911312106	505660	4525329	SH	SOLE	4525329	0	0
WALMART INC	COM	931142103	1131641	11603000	SH	SOLE	11603000	0	0
WASTE MGMT INC DEL	COM	94106L109	1936225	18633672	SH	SOLE	18633672	0	0
