nameOfIssuer	titleOfClass	cusip	value	shrsOrPrnAmt_	shrsOrPrnAmt_	investmentDiscretion	votingAuthority_Sole	votingAuthority_Shared	votingAuthority_None
BLACKSTONE GROUP LP	COM	09253U108	3540	100000	SH	SOLE	100000	0	0
E TRADE FINANCIAL CORP	COM	269246401	25178	524876	SH	SOLE	524876	0	0
FINSERV INC	COM	337738108	15171	169868	SH	SOLE	169868	0	0
GREEN DOT CORP	CL A	39304D102	9595	155010	SH	SOLE	155010	0	0
ONEMAIN HOLDINGS INC.	COM	68268W103	12320	374693	SH	SOLE	374693	0	0
UNITI GROUP INC	COM	91325V108	14847	1277691	SH	SOLE	1277691	0	0
