nameOfIssuer	titleOfClass	cusip	value	shrsOrPrnAmt_	shrsOrPrnAmt_	investmentDiscretion	votingAuthority_Sole	votingAuthority_Shared	votingAuthority_None
COLONY CAP INC NEW	CL A COM	19626G108	1397	262568	SH	SOLE	262568	0	0
ENDURANCE INTL GROUP HLDGS I	COM	29272B105	87666	12091898	SH	SOLE	12091898	0	0
GOLDMAN SACHS GROUP INC	COM	38141G104	130209	678207	SH	SOLE	678207	0	0
L BRANDS INC	COM	501797104	45731	1658109	SH	SOLE	1658109	0	0
NEWELL BRANDS INC	COM	651229106	23317	1520000	SH	SOLE	1520000	0	0
REALOGY HLDGS CORP	COM	75605Y106	93390	8192106	SH	SOLE	8192106	0	0
SHUTTERFLY INC	COM	82568P304	66242	1629979	SH	SOLE	1629979	0	0
